Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xcb82ce50aa143bc04244d110026eb79320a670675a25fd572c9c613c162ef3c3","Success","Swap Exact ETH For Tokens","26704090","2025-02-22 04:12:07","0x5ae2b2f9a66d586fc8f70fe9ffc2458fb54a71ca","","0x617a79b94247e9cc07912e887308ec2ac4361b65","","0.15645012","$0.00","ERC-20: catchcoin(CATCH)"
"0xcb82ce50aa143bc04244d110026eb79320a670675a25fd572c9c613c162ef3c3","Success","Swap Exact ETH For Tokens","26704090","2025-02-22 04:12:07","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Uniswap: V2 Router02","0x5ae2b2f9a66d586fc8f70fe9ffc2458fb54a71ca","","0.0000001","$0.00","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0x9deb607b7e92096df55b02aa563e82f612fd0def","","0.02396982","$0.02","USDS Stablecoin(USDS)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0x4289a0666397f517c2a761652aaebaf6a4f7a693","","69.16658793","$69.24","USDS Stablecoin(USDS)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0x4289a0666397f517c2a761652aaebaf6a4f7a693","","0.05358307","$143.47","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x6a000f20005980200259b80c5102003040001068","ParaSwap: Augustus V6.2","0x828eb91fc5331d854d91e99b2d22b76233261380","","69.19055775","$69.26","USDS Stablecoin(USDS)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x000010036c0190e009a000d0fc3541100a07380a","","0xa441378a1cb4df371535296e539a1e0def6924e4","","69.201796","$69.20","USDC(USDC)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0xa441378a1cb4df371535296e539a1e0def6924e4","","0x6a000f20005980200259b80c5102003040001068","ParaSwap: Augustus V6.2","69.19055775","$69.26","USDS Stablecoin(USDS)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x51c72848c68a965f66fa7a88855f9f7784502a7f","","0x000010036c0190e009a000d0fc3541100a07380a","","69.201796","$69.20","USDC(USDC)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x000010036c0190e009a000d0fc3541100a07380a","","0x51c72848c68a965f66fa7a88855f9f7784502a7f","","69.204943","$69.34","USD Base Coin(USDbC)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x51c72848c68a965f66fa7a88855f9f7784502a7f","","0x000010036c0190e009a000d0fc3541100a07380a","","69.204943","$69.34","USD Base Coin(USDbC)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x000010036c0190e009a000d0fc3541100a07380a","","0x51c72848c68a965f66fa7a88855f9f7784502a7f","","0.02582692","$69.15","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0x000010036c0190e009a000d0fc3541100a07380a","","0.02582692","$69.15","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0xd4627ecb405b64448ee6b07dcf860bf55590c83d","","0.00007153","$0.19","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x9deb607b7e92096df55b02aa563e82f612fd0def","","0x828eb91fc5331d854d91e99b2d22b76233261380","","0.07948153","$212.82","Wrapped Ether(WETH)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0x9deb607b7e92096df55b02aa563e82f612fd0def","","0.83392765","$0.64","Aerodrome(AERO)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x828eb91fc5331d854d91e99b2d22b76233261380","","0xd4627ecb405b64448ee6b07dcf860bf55590c83d","","0.00757351","$0.01","Aerodrome(AERO)"
"0xd3a1b0cd68045776dd34351aeb8a25b5fdd28afd043140ff2a118d79c31066ed","Success","Increase","26704090","2025-02-22 04:12:07","0x0c8a0ba64139c17eb90a9fe63158498be41467eb","","0x828eb91fc5331d854d91e99b2d22b76233261380","","0.84150116","$0.65","Aerodrome(AERO)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x76c48576822cd955c320f5d5a163e738dbfecc01","","0.00877328","$0.00","ERC-20: Volatile AMM - WETH/fBOMB(vAMM-WETH/fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x0000000000000000000000000000000000000000","Null: 0x000...000","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0.00877328","$0.00","ERC-20: Volatile AMM - WETH/fBOMB(vAMM-WETH/fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x0000000000000000000000000000000000000000","Null: 0x000...000","0.0286942","$0.00","Fantom Bomb(fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","2.84072638","$0.09","Fantom Bomb(fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","0.00003397","$0.09","Wrapped Ether(WETH)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","0x3b4c8229b200407c4ac8bbe76530c5dc54a6d465","","0.00000034","$0.00","Wrapped Ether(WETH)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","0x0000000000000000000000000000000000000000","Null: 0x000...000","0.02898404","$0.00","Fantom Bomb(fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","2.86942059","$0.09","Fantom Bomb(fBOMB)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0xfe970be08531dead94b0e1bc01a1ccf652e2bd29","","0x4f9dc2229f2357b27c22db56cb39582c854ad6d5","","0.00003466","$0.09","Wrapped Ether(WETH)"
"0x3ad1710febf9b4e1ef691ca6f79214e509868fda732120b2f576221085f5925c","Success","Reinvest","26704090","2025-02-22 04:12:07","0x7f670f78b17dec44d5ef68a48740b6f8849cc2e6","","0xa977b246e91ba4277eab4e58b18e4cef17ade33a","","0.00243291","$0.00","Aerodrome(AERO)"
